ProviderID,ProviderName,ProviderType,ProviderPrimaryInspectionCategory,ProviderStreetAddress,ProviderAddressLine2,ProviderCity,ProviderPostCode,ProviderLocalAuthority,ProviderRegion,Service/PopulationGroup,Domain,LatestRating,PublicationDate,ReportType,InheritedRating(Y/N),URL,BrandID,BrandName
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Caring,Good,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Effective,Requires improvement,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Overall,Requires improvement,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Responsive,Good,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Safe,Inadequate,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-101606240,Accomplish Group Support Limited,Social Care Org,Residential social care,"Ground Floor, 2 Parklands","Birmingham Great Park, Rubery",Birmingham,B45 9PZ,Birmingham,West Midlands,Wards for people with learning disabilities or autism,Well-led,Requires improvement,24/05/2019,CoreService,N,http://www.cqc.org.uk/provider/1-101606240,BD306,BRAND Tracscare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Caring,Good,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Effective,Good,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Overall,Requires improvement,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Responsive,Good,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Safe,Requires improvement,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
1-102643363,St Andrew's Healthcare,Independent Healthcare Org,Mental health - community & hospital - independent,Billing Road,,Northampton,NN1 5DG,Northamptonshire,East Midlands,Overall,Well-led,Requires improvement,10/02/2015,Provider,N,http://www.cqc.org.uk/provider/1-102643363,BD179,BRAND St Andrew's Healthcare
